LAT,LON,UTCTIMESOD,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
75.765912,-44.125899,45813.1111,2942.36,3428.8437,2002051801001,555.84,3498.20,1
75.765849,-44.125416,45813.2090,2942.20,3428.8548,2002051801001,555.86,3498.06,1
75.765787,-44.124933,45813.3069,2942.10,3428.8660,2002051801001,555.79,3497.88,1
75.765724,-44.124450,45813.4048,2942.02,3428.8771,2002051801001,555.66,3497.68,1
75.765661,-44.123968,45813.5027,2941.92,3428.8883,2002051801001,555.52,3497.44,1
75.765599,-44.123485,45813.6006,2941.81,3428.8981,2002051801001,555.39,3497.19,1
75.765536,-44.123002,45813.6985,2941.69,3428.9078,2002051801001,555.24,3496.93,1
75.765473,-44.122519,45813.7964,2941.56,3428.9176,2002051801001,555.10,3496.67,1
75.765411,-44.122036,45813.8943,2941.43,3428.9274,2002051801001,554.97,3496.40,1
75.765348,-44.121553,45813.9921,2941.23,3428.9372,2002051801001,554.95,3496.18,1
75.765285,-44.121070,45814.0900,2941.03,3428.9499,2002051801001,554.95,3495.97,1
75.765223,-44.120587,45814.1880,2940.83,3428.9628,2002051801001,554.96,3495.78,1
75.765160,-44.120104,45814.2859,2940.66,3428.9757,2002051801001,554.97,3495.64,1
75.765097,-44.119621,45814.3838,2940.54,3428.9887,2002051801001,554.99,3495.53,1
75.765035,-44.119138,45814.4817,2940.44,3429.0016,2002051801001,555.00,3495.44,1
75.764972,-44.118655,45814.5796,2940.36,3429.0161,2002051801001,555.02,3495.38,1
75.764910,-44.118172,45814.6776,2940.30,3429.0310,2002051801001,555.03,3495.34,1
75.764847,-44.117689,45814.7756,2940.25,3429.0459,2002051801001,555.05,3495.30,1
75.764785,-44.117206,45814.8736,2940.20,3429.0608,2002051801001,555.06,3495.26,1
75.764722,-44.116722,45814.9715,2940.15,3429.0757,2002051801001,555.08,3495.23,1
75.764660,-44.116239,45815.0695,2940.11,3429.0956,2002051801001,555.09,3495.20,1
75.764597,-44.115756,45815.1674,2940.06,3429.1175,2002051801001,555.12,3495.18,1
75.764534,-44.115274,45815.2653,2940.04,3429.1394,2002051801001,555.14,3495.17,1
75.764472,-44.114791,45815.3632,2940.01,3429.1614,2002051801001,555.17,3495.18,1
75.764409,-44.114308,45815.4611,2939.99,3429.1833,2002051801001,555.18,3495.17,1
75.764346,-44.113825,45815.5590,2939.97,3429.2044,2002051801001,555.21,3495.19,1
75.764283,-44.113343,45815.6569,2940.05,3429.2249,2002051801001,555.23,3495.28,1
75.764220,-44.112860,45815.7547,2940.46,3429.2455,2002051801001,555.24,3495.70,1
75.764158,-44.112378,45815.8526,2941.19,3429.2660,2002051801001,555.27,3496.46,1
75.764095,-44.111895,45815.9505,2942.15,3429.2866,2002051801001,555.29,3497.44,1
75.764032,-44.111412,45816.0484,2943.24,3429.3057,2002051801001,555.29,3498.53,1
75.763969,-44.110930,45816.1463,2944.40,3429.3233,2002051801001,555.27,3499.67,1
75.763907,-44.110447,45816.2442,2945.54,3429.3410,2002051801001,555.22,3500.76,1
75.763844,-44.109964,45816.3421,2946.55,3429.3586,2002051801001,555.15,3501.71,1
75.763781,-44.109481,45816.4400,2947.37,3429.3762,2002051801001,555.07,3502.43,1
