Latitude,Longitude,Time,Thick,Elevation,Frame,Surface,Bottom,Quality,Date
64.83455,-43.6637,48235.56,1656.39,3018,2.00E+12,9.8,1666.19,0,5/9/2003
64.83452,-43.6637,48235.59,1656.22,3018,2.00E+12,9.6,1665.82,0,5/9/2003
69.1819,-48.6304,74342.83,1110.04,1442.717,2.01E+12,-63.49,1046.55,0,3/14/2005
69.18189,-48.6305,74342.86,1109.85,1442.642,2.01E+12,-63.48,1046.37,0,3/14/2005
69.18188,-48.6306,74342.9,1109.68,1442.566,2.01E+12,-63.47,1046.21,0,3/14/2005
69.18187,-48.6306,74342.94,1109.52,1442.491,2.01E+12,-63.46,1046.06,0,3/14/2005
69.18187,-48.6307,74342.98,1109.38,1442.415,2.01E+12,-63.45,1045.93,0,3/14/2005
74.67451,-56.0077,55263.67,358.78,961,2.01E+12,3.69,362.47,0,5/23/2005
74.67454,-56.0078,55263.73,359.38,961,2.01E+12,3.48,362.86,0,5/23/2005
74.67457,-56.0078,55263.78,359.94,961,2.01E+12,3.28,363.22,0,5/23/2005
74.67461,-56.0079,55263.83,360.42,961,2.01E+12,3.08,363.5,0,5/23/2005
74.67464,-56.0079,55263.88,360.8,961,2.01E+12,2.88,363.68,0,5/23/2005
69.15135,-49.2172,66231.13,599.72,898,2.01E+12,-2060.35,-1460.63,0,5/22/2005
69.15133,-49.2172,66231.2,599.49,898,2.01E+12,-2060.33,-1460.84,0,5/22/2005
69.1513,-49.2172,66231.27,599.29,898,2.01E+12,-2060.31,-1461.02,0,5/22/2005
69.15127,-49.2172,66231.34,599.12,898,2.01E+12,-2060.29,-1461.17,0,5/22/2005
69.15125,-49.2172,66231.41,598.98,898,2.01E+12,-2060.27,-1461.3,0,5/22/2005
67.10162,-39.4262,49562.65,1947.23,2840.33,2.01E+12,-6.95,1940.28,0,5/19/2005
67.10161,-39.4264,49562.75,1946.69,2840.121,2.01E+12,-7.12,1939.56,0,5/19/2005
67.10159,-39.4266,49562.86,1946.14,2839.823,2.01E+12,-7.3,1938.84,0,5/19/2005
67.10158,-39.4268,49562.96,1945.6,2839.406,2.01E+12,-7.49,1938.11,0,5/19/2005
67.10156,-39.427,49563.06,1945.06,2838.988,2.01E+12,-7.68,1937.37,0,5/19/2005
67.10155,-39.4272,49563.16,1944.5,2838.57,2.01E+12,-7.89,1936.62,0,5/19/2005
67.10154,-39.4274,49563.26,1943.93,2838.152,2.01E+12,-8.1,1935.83,0,5/19/2005
69.18978,-48.6617,55157,2031.23,1283.971,2.01E+12,220.32,2251.55,2,5/30/2006
69.18973,-48.6621,55157.3,2041.68,1283.736,2.01E+12,208.84,2250.52,2,5/30/2006
69.18968,-48.6624,55157.61,2049.45,1283.517,2.01E+12,200.76,2250.21,2,5/30/2006
69.18962,-48.6628,55157.91,2051.26,1283.303,2.01E+12,198.47,2249.73,2,5/30/2006
69.18957,-48.6631,55158.22,2052.31,1283.096,2.01E+12,197.02,2249.33,2,5/30/2006
69.18951,-48.6635,55158.53,2053.29,1282.894,2.01E+12,197.02,2250.31,2,5/30/2006
69.18945,-48.6638,55158.83,2056.38,1282.691,2.01E+12,197.02,2253.4,2,5/30/2006
61.16822,-46.8406,50055.15,571.75,1600.217,2.01E+12,682.57,1254.32,1,6/10/2006
61.16844,-46.8403,50055.59,574.39,1600.896,2.01E+12,682.57,1256.95,1,6/10/2006
61.16866,-46.84,50056.04,577.03,1601.585,2.01E+12,682.57,1259.6,1,6/10/2006
61.16887,-46.8396,50056.48,579.67,1602.296,2.01E+12,682.57,1262.24,1,6/10/2006
