Year	MONTH	EXTENT
2004	7	292.372
2004	8	212.5
2004	9	179.535
2004	10	245.684
2004	11	310.298
2004	12	389.161
2005	1	423.505
2005	2	402.44
2005	3	455.285
2005	4	422.695
2005	5	400.244
2005	6	334.861
2005	7	268.111
2005	8	195.335
2005	9	165.113
2005	10	227.911
2005	11	306.49
2005	12	379.056
2006	1	417.433
2006	2	401.099
2006	3	447.05
2006	4	417.176
2006	5	388.038
2006	6	327.585
2006	7	262.255
2006	8	201.364
2006	9	175.873
2006	10	233.774
2006	11	289.762
2006	12	370.595
2007	1	424.794
2007	2	406.371
2007	3	450.805
2007	4	415.356
2007	5	396.17
2007	6	336.602
2007	7	246.228
2007	8	165.612
2007	9	128.018
2007	10	187.231
2007	11	292.805
2007	12	373.053
2008	1	430.505
2008	2	433.65
2008	3	470.546
2008	4	430.558
2008	5	402.194
2008	6	336.25
2008	7	269.016
2008	8	183.305
2008	9	140.623
2008	10	227.846
2008	11	310.286
2008	12	383.113
2009	1	431.325
2009	2	414.723
2009	3	464.492
2009	4	434.869
2009	5	408.788
2009	6	339.608
2009	7	262.429
2009	8	190.208
2009	9	157.849
2009	10	214.53
2009	11	293.152
2009	12	378.196
2010	1	425.911
2010	2	408.28
2010	3	469.238
2010	4	439.762
2010	5	398.849
2010	6	317.553
2010	7	250.315
2010	8	182.122
2010	9	145.952
2010	10	216.501
2010	11	288.419
2010	12	366.756
2011	1	417.383
2011	2	402.165
2011	3	450.942
2011	4	423.234
2011	5	393.104
2011	6	322.46
2011	7	239.456
2011	8	170.576
2011	9	136.84
2011	10	200.401
2011	11	293.154
2011	12	376.761
2012	1	425.612
2012	2	422.047
2012	3	471.084
2012	4	438.773
2012	5	403.366
2012	6	320.236
2012	7	237.825
2012	8	146.422
2012	9	106.968
2012	10	182.462
2012	11	281.639
2012	12	372.198
2013	1	424.782
2013	2	412.259
2013	3	465.993
2013	4	428.962
2013	5	402.915
2013	6	340.804
2013	7	252.082
2013	8	186.419
2013	9	156.248
2013	10	231.1
2013	11	298.171
2013	12	377.712
2014	1	423.072
2014	2	403.692
2014	3	457.483
2014	4	422.636
2014	5	393.722
2014	6	330.978
2014	7	251.362
2014	8	188.414
2014	9	156.598
2014	10	224.206
2014	11	303.438
2014	12	382.93
2015	1	421.672
2015	2	403.218
2015	3	445.486
2015	4	416.795
2015	5	386.511
2015	6	326.367
2015	7	259.714
2015	8	173.561
2015	9	138.473
2015	10	215.953
2015	11	295.385
2015	12	373.388
2016	1	417.648
2016	2	412.1
2016	3	446.551
2016	4	410.819
2016	5	368.896
2016	6	310.577
2016	7	244.711
2016	8	167.021
2016	9	135.152
2016	10	187.146
2016	11	259.027
2016	12	355.506
2017	1	408.396
2017	2	395.129
2017	3	442.463
2017	4	385.99
